order_date,reporting_channel,total_orders,first_orders,pct_new_customers
2025-04-11,Direct,126,115,91.27
2025-04-11,Email,5,4,80
2025-04-11,Google,74,72,97.3
2025-04-11,Influencer,25,24,96
2025-04-11,Meta,3,3,100
2025-04-11,Organic Search,10,10,100
2025-04-11,Overall,564,510,90.43
2025-04-11,Unknown,319,280,87.77
2025-04-12,Affiliate,1,1,100
2025-04-12,Direct,82,77,93.9
